Urban Area,Year,Freeway Daily Vehicle-Miles of Travel,Arterial Street Daily Vehicle-Miles of Travel,Annual Excess Fuel Consumed Total Gallons,Rank,Annual Excess Fuel Consumed Gallons per Auto Commuter,Rank,Annual Hours of Delay per Auto Commuter,Rank,Commuter Stress Index Value,Rank,Annual Congestion Cost Total Dollars (million),Rank
Akron OH,1982,2745,2120,916,74,2,62,5,95,1.03,98,97,75
Akron OH,1983,3160,2380,1066,72,2,68,6,94,1.04,91,109,75
Akron OH,1984,3290,2555,1363,71,3,54,7,90,1.04,94,134,72
Akron OH,1985,3255,2395,1407,72,3,63,7,92,1.04,97,134,75
Akron OH,1986,3390,2715,1560,72,3,71,8,90,1.05,93,146,75
Akron OH,1987,3435,2615,1634,73,4,55,9,88,1.05,94,147,78
Akron OH,1988,3870,2725,2061,71,5,47,11,86,1.06,93,178,74
Akron OH,1989,4105,2910,2580,66,6,44,13,84,1.07,89,213,67
Akron OH,1990,4145,3070,3034,63,7,38,16,81,1.08,84,237,69
Akron OH,1991,4140,3215,3505,62,8,31,18,73,1.09,78,263,65
Akron OH,1992,4230,3365,4256,56,9,28,21,66,1.1,76,310,63
Akron OH,1993,4580,3520,4850,55,11,15,24,60,1.11,76,343,58
Akron OH,1994,4715,3770,5203,56,12,15,25,62,1.12,74,359,61
Akron OH,1995,4635,3900,5368,56,12,20,26,62,1.12,76,360,65
Akron OH,1996,4775,4105,5608,56,13,17,27,63,1.13,75,365,65
Akron OH,1997,5100,3995,5627,61,13,27,26,69,1.12,82,358,65
Akron OH,1998,5210,4040,5642,63,13,34,26,72,1.12,85,354,67
Akron OH,1999,5245,4050,5724,63,13,44,26,78,1.12,90,351,68
Akron OH,2000,5320,4005,5896,64,13,53,26,81,1.12,92,350,72
Akron OH,2001,5350,4005,5908,68,13,58,26,84,1.12,92,341,72
Akron OH,2002,5335,3990,6054,69,13,64,26,86,1.12,92,344,72
Akron OH,2003,5435,3990,6200,71,14,62,27,86,1.13,89,345,73
Akron OH,2004,5650,4025,6379,71,14,68,27,88,1.13,91,345,74
Akron OH,2005,5555,4100,6507,71,15,65,28,88,1.13,94,341,75
Akron OH,2006,5600,4445,6655,71,15,67,28,88,1.13,95,337,75
Akron OH,2007,5530,4385,6796,73,15,72,28,88,1.13,95,335,75
Akron OH,2008,5600,4500,6601,74,15,74,27,88,1.13,95,314,79
Akron OH,2009,5675,4600,6070,75,14,77,25,89,1.12,96,289,80
Akron OH,2010,5738,4712,6099,76,14,78,25,89,1.12,96,286,81
Akron OH,2011,5729,4704,6141,76,14,79,25,89,1.12,97,279,81
Akron OH,2012,5480,4400,6299,75,14,80,26,89,1.12,97,281,81
Akron OH,2013,5660,4475,6404,76,14,83,26,89,1.12,98,281,82
Akron OH,2014,5847,4493,6586,75,15,78,27,89,1.13,94,284,80
Albany-Schenectady NY,1982,2450,2750,1141,69,2,62,7,82,1.04,90,132,69
Albany-Schenectady NY,1983,2495,2840,1190,70,2,68,7,85,1.04,91,133,70
Albany-Schenectady NY,1984,2740,2900,1265,72,3,54,8,83,1.05,88,136,71
Albany-Schenectady NY,1985,3040,2920,1537,70,3,63,10,80,1.05,91,159,69
Albany-Schenectady NY,1986,3270,2950,1642,71,3,71,10,83,1.06,86,167,70
Albany-Schenectady NY,1987,3645,2980,1812,70,4,55,11,82,1.06,89,178,70
Albany-Schenectady NY,1988,3800,3000,2128,70,4,66,13,80,1.07,82,201,68
Albany-Schenectady NY,1989,3990,3105,2288,70,5,57,14,80,1.07,89,206,69
Albany-Schenectady NY,1990,4160,3300,2796,67,6,51,17,71,1.08,84,238,68
Albany-Schenectady NY,1991,4260,3500,2951,69,6,58,17,78,1.08,89,241,70
Albany-Schenectady NY,1992,4405,3700,3137,68,6,63,18,80,1.09,84,249,69
Albany-Schenectady NY,1993,4520,3750,3234,71,7,59,19,78,1.09,90,249,72
Albany-Schenectady NY,1994,4605,3800,3561,70,7,65,20,80,1.1,87,268,70
Albany-Schenectady NY,1995,4625,3900,3725,70,8,62,21,78,1.1,88,272,70
Albany-Schenectady NY,1996,4850,3950,3958,72,8,70,22,79,1.1,90,281,72
Albany-Schenectady NY,1997,4975,4100,4203,72,9,68,23,77,1.11,89,292,72
Albany-Schenectady NY,1998,5150,4280,4799,71,10,66,26,72,1.12,85,328,70
Albany-Schenectady NY,1999,5330,4350,5082,72,11,63,27,73,1.12,90,340,71
Albany-Schenectady NY,2000,5500,4375,5691,68,12,60,29,72,1.13,85,368,67
Albany-Schenectady NY,2001,5730,4400,6072,66,13,58,31,70,1.14,85,382,67
Albany-Schenectady NY,2002,5820,4450,6560,66,14,55,32,69,1.15,82,406,65
Albany-Schenectady NY,2003,6000,4475,7466,63,15,52,36,53,1.16,74,452,64
Albany-Schenectady NY,2004,6210,4660,8065,60,17,43,37,53,1.16,77,476,60
Albany-Schenectady NY,2005,6400,4800,8976,55,19,30,40,42,1.18,68,512,57
Albany-Schenectady NY,2006,6755,5205,9299,56,19,33,41,42,1.18,72,514,58
Albany-Schenectady NY,2007,7005,5260,9562,57,20,26,41,46,1.18,75,514,58
Albany-Schenectady NY,2008,6970,5115,9605,58,20,30,41,45,1.18,72,497,58
Albany-Schenectady NY,2009,7000,5300,9480,57,20,24,40,42,1.18,62,493,58
Albany-Schenectady NY,2010,7161,5429,9554,57,20,27,40,43,1.17,74,488,59
Albany-Schenectady NY,2011,7173,5501,9650,58,20,30,40,44,1.18,66,478,59
Albany-Schenectady NY,2012,7060,5490,9780,58,20,36,41,43,1.18,66,475,59
Albany-Schenectady NY,2013,7068,5513,9976,58,21,27,42,40,1.18,69,477,58
Albany-Schenectady NY,2014,7273,5623,10164,58,21,32,42,43,1.18,71,479,58
Albuquerque NM,1982,1735,5000,2400,48,4,28,15,33,1.09,43,269,49
Albuquerque NM,1983,1885,5200,2664,47,5,19,16,32,1.09,47,289,47
Albuquerque NM,1984,1870,5400,2836,48,5,22,17,34,1.1,46,295,49
Albuquerque NM,1985,1865,5500,2877,50,5,29,17,38,1.1,48,289,52
Albuquerque NM,1986,1980,5650,3206,50,6,23,19,37,1.1,51,316,53
Albuquerque NM,1987,2100,5750,3329,51,6,27,19,43,1.1,52,317,54
Albuquerque NM,1988,2225,5900,3486,53,6,31,19,49,1.11,51,319,54
Albuquerque NM,1989,2310,6050,3827,53,7,29,20,49,1.11,52,334,54
Albuquerque NM,1990,2430,6100,4107,53,7,38,21,53,1.12,51,340,54
Albuquerque NM,1991,2480,6150,4509,53,8,31,22,54,1.12,54,358,54
Albuquerque NM,1992,2670,6275,4845,52,9,28,24,54,1.13,51,373,55
Albuquerque NM,1993,2940,6300,5568,50,10,24,26,49,1.14,50,417,51
Albuquerque NM,1994,3100,6335,6052,48,11,20,28,47,1.14,58,442,51
Albuquerque NM,1995,3255,6425,6722,49,12,20,29,48,1.15,55,477,51
Albuquerque NM,1996,3505,6490,7567,48,13,17,31,45,1.16,53,521,51
Albuquerque NM,1997,3585,6650,8458,47,15,12,35,36,1.18,48,570,49
Albuquerque NM,1998,3720,6500,9255,46,16,12,37,31,1.19,45,614,48
Albuquerque NM,1999,3825,6500,9824,47,17,12,39,28,1.2,42,638,48
Albuquerque NM,2000,3875,6600,9958,48,18,12,39,33,1.2,46,625,50
Albuquerque NM,2001,3980,6670,10051,48,18,15,39,36,1.19,51,614,51
Albuquerque NM,2002,4100,6785,10143,49,18,19,40,34,1.2,47,610,52
Albuquerque NM,2003,4285,7050,10243,53,18,25,39,43,1.19,53,602,52
Albuquerque NM,2004,4515,7240,10414,53,18,33,39,43,1.19,55,596,53
Albuquerque NM,2005,4665,7335,10605,53,19,30,39,48,1.19,58,587,53
Albuquerque NM,2006,4750,7445,10627,54,19,33,38,55,1.19,59,569,54
Albuquerque NM,2007,4875,7470,10753,54,19,41,38,55,1.19,63,561,56
Albuquerque NM,2008,4925,7460,10909,53,19,41,38,56,1.19,65,548,55
Albuquerque NM,2009,5150,7500,10470,53,19,35,36,59,1.18,62,528,55
Albuquerque NM,2010,5326,7566,10453,54,18,48,35,66,1.18,65,518,55
Albuquerque NM,2011,5469,7627,10596,54,19,44,36,62,1.18,66,509,55
Albuquerque NM,2012,5025,7220,10705,54,19,47,37,57,1.19,60,504,56
Albuquerque NM,2013,4818,7584,10829,54,19,49,37,61,1.19,60,503,57
Albuquerque NM,2014,4736,7834,10961,54,19,51,36,70,1.18,71,501,56
Allentown PA-NJ,1982,1735,2965,1858,56,3,36,11,54,1.09,43,205,56
Allentown PA-NJ,1983,1885,2980,2000,54,4,29,12,52,1.09,47,214,56
Allentown PA-NJ,1984,1870,3030,2071,56,4,34,12,56,1.09,49,212,58
Allentown PA-NJ,1985,1865,3100,2189,57,4,40,12,63,1.09,53,217,64
Allentown PA-NJ,1986,1980,3205,2371,58,4,48,13,65,1.09,56,230,63
Allentown PA-NJ,1987,2100,3260,2658,57,5,39,14,64,1.08,67,249,62
Allentown PA-NJ,1988,2225,3315,2701,58,5,47,14,75,1.09,66,243,64
Allentown PA-NJ,1989,2310,3375,2824,61,5,57,14,80,1.08,79,243,65
Allentown PA-NJ,1990,2430,3450,3311,59,6,51,17,71,1.09,75,270,63
Allentown PA-NJ,1991,2480,3560,3516,61,6,58,17,78,1.1,74,275,64
